household_ID,SumOfAppliances
ID1430,190.5
ID1431,3.0
ID1432,188.42
ID1433,197.25
ID1434,22.0
ID1435,195.55
ID1436,198.0
ID1437,189.0
ID1438,75.35
ID1439,17.45
ID1440,176.33
ID1441,255.75
ID1442,3.0
ID1443,162.0
ID1444,172.75
ID1445,4.58
ID1446,0.35
ID1447,15.35
ID1448,180.25
ID1449,154.75
ID1450,2.33
ID1451,42.83
ID1452,193.0
ID1453,212.75
ID1454,254.75
ID1455,209.0
ID1456,14.5
ID1457,168.33
ID1458,278.56
ID1459,191.32
ID1460,22.0
ID1461,185.91
ID1462,176.08
ID1464,200.5
ID1465,195.75
ID1466,169.25
ID1467,17.0
ID1468,183.0
ID1469,379.0
ID1470,172.58
ID1471,225.45
ID1472,221.58
ID1473,190.925
ID1474,212.38
ID1475,117.0
ID1476,61.0
ID1477,177.6
ID1478,369.98
ID1479,185.75
ID1480,249.36
ID1481,198.0
ID1482,216.1
ID1483,179.0
ID1484,194.5
ID1485,16.91
ID1486,178.81
ID1487,212.0
ID1488,168.64
ID1489,240.25
ID1490,179.65
ID1491,260.25
ID1492,157.66
ID1493,205.58
ID1494,223.66
ID1495,22.0
ID1496,488.0
ID1497,185.0
ID1498,227.25
ID1499,173.5
ID1500,5.5
ID1502,29.33
ID1503,206.0
ID1504,168.25
ID1506,172.5
ID1507,158.25
ID1508,212.5
ID1509,168.25
ID1510,221.25
ID1511,203.25
ID1512,228.83
ID1513,15.66
ID1514,219.25
ID1516,195.75
ID1517,190.66
ID1518,147.66
ID1519,217.75
ID1520,205.7
ID1521,565.25
ID1522,15.25
ID1523,217.62
ID1524,137.25
ID1525,192.13
ID1526,218.0
ID1527,189.5
ID1528,24.0
ID1529,192.65
ID1530,252.5
ID1531,191.3
ID1532,221.31
ID1533,21.0
ID1534,42.2
ID1535,214.0
ID1536,204.16
ID1537,201.5
ID1538,190.0
ID1539,176.25
ID1540,179.5
ID1541,285.0
ID1542,5.45
ID1543,183.25
ID1544,8.0
ID1545,208.32
ID1546,202.5
ID1547,184.55
ID1548,5.0
ID1549,197.0
ID1550,197.08
ID1551,190.0
ID1552,191.43
ID1553,0.75
ID1554,180.41
ID1555,245.25
ID1556,84.0
ID1557,191.5
ID1558,208.25
ID1559,202.45
ID1560,198.5
ID1561,14.0
ID1562,254.4
